Time (min),2.23.26,2.25.26
0,1,1
3,1.000231504,1.002383455
6,1.000784745,1.003903462
9,1.001244715,1.005381429
12,1.002074879,1.006566026
15,1.002257774,1.007233543
18,1.002879828,1.008475342
21,1.002667008,1.007752423
24,1.003360913,1.007940397
27,1.003900937,1.007354555
30,1.004019728,1.007314918
33,1.004603957,1.006838227
36,1.004864475,1.006554765
39,1.00519806,1.007226186
42,1.005376245,1.006360185
45,1.005873888,1.00667893
48,1.006196992,1.006536298
51,1.006279628,1.007061634
54,1.006193498,1.006758504
57,1.006222816,1.007147063
60,1.006765423,1.006780124
63,1.006673064,1.006944225
66,1.007425756,1.00539239
69,1.007106755,1.005529617
72,1.007492291,1.005736808
75,1.007824965,1.005304708
78,1.007755696,1.005446289
81,1.007988567,1.005157722
84,1.008347064,1.005972977
87,1.007847599,1.005960816
90,1.007290105,1.00665776
93,1.007839396,1.00677622
96,1.008044772,1.007127545
99,1.007861574,1.007665643
102,1.007874638,1.008216202
105,1.007841826,1.008675778
108,1.008273086,1.008677279
111,1.008495628,1.008193682
114,1.0069629,1.008201639
117,1.00742606,1.008215602
120,1.007124983,1.008112456
123,1.007746126,1.007877489
126,1.007605765,1.009216578
129,1.007504747,1.008708358
132,1.008011657,1.008859247
135,1.00834752,1.009038363
138,,
141,,
144,,
147,,
150,,
153,,
156,,
159,,
162,,
165,,
168,,
171,,
174,,
177,,
180,,
183,,
186,,
