region,x_start,x_end,red_pv,red_od,green_pv,green_od,blue_pv,blue_od
1,37,121,42187.88940779014,0.1912855048938779,44400.81617647059,0.16908235036955863,45492.73668521463,0.15853124050008097
2,180,254,49734.46306306306,0.1198158701375013,50573.5436936937,0.11254991800503492,47372.538175675676,0.14094664932737103
3,321,387,52741.41253753754,0.09432154673705193,51960.91066066066,0.10079654990478884,47329.64251751752,0.14134007952662045
4,441,523,45353.36117936118,0.15986382521243198,47590.09653972154,0.13895671796994202,46689.10995085995,0.14725770884739145
5,574,640,52651.03666166166,0.09506637720847355,51934.95095095095,0.10101357796997788,47337.58295795796,0.14126722454522778
6,699,782,43641.22902379992,0.17657633108041854,45916.3811012505,0.15450565193829707,46176.61778943122,0.15205118395800507
7,833,908,49275.19749667701,0.12384493014314218,50387.524147097916,0.11415028447814128,47466.275033229955,0.1400881524342604
8,967,1042,49155.399091714666,0.12490207728455516,50321.51683650864,0.11471958023508845,47411.402414709795,0.14059050195901615
9,1101,1181,45555.79866976351,0.15792963881192362,47745.86169763513,0.13753756805000622,46819.18908361487,0.14604941639441796
10,1239,1322,42075.63775716015,0.19244259629347069,44219.020673658735,0.17086418381146762,45447.569080274305,0.15896264532183169
11,1376,1449,49914.927049931284,0.11824286303185613,50701.225377920295,0.11145484801301792,47565.64555657352,0.13917990843765463
12,1503,1567,52766.71452702703,0.09411324970946122,51987.838097713095,0.10057154599228507,47341.401897089396,0.14123218943801907
